ACK_ID,Employer Identification Number (EIN),Name of plan,Administrator's telephone number,Date of Signature of plan administrator,Name of individual signing as plan administrator,Business Code,Industry,Plan year ending date,Plan sponsor's care of Name,Plan sponsor's DFE/DBA name,Date of plan sponsor signed,Name of individual signing as plan sponsor,Company Name,Plan Sponsor's mailing address 1,Plan Sponsor's mailing address 2,Plan Sponsor's mailing city or town,Plan Sponsor's mailing state or province,Plan Sponsor's mailing ZIP or postal code,County,Sponsor's telephone number,"Total number of active participants, BOY","Total number of active participants, EOY",Total of active/retired/separated/deceased of participants entl. to benefits ,"Number of DC plan participants with account balances, EOY","Total assets, BOY","Total assets, EOY",Total benefit payments,Adminexp,Total expenses,Total fidelity bond,Amount of Contributions Received or receivable in cash from Employers,Amount of Contributions Received or receivable in cash from Others (including rollovers),Amount of Contributions Received or receivable in cash from Participants,"Participant loans, EOY",Total Corrective distributions,Total Certain deemed distributions of participant loans,Applicable welfare feature codes from the List of Plan Characteristics Codes,Applicable pension feature codes from the List of Plan Characteristics Codes,planscore,Not 404(c) Compliant,No QDIA,No automatic enrollment,Insufficient fidelity bond,No 401(k) Provision,Failed to transmit payment on time,Corrective distribution was made,No 404(c) with participant directed accts,Loss from fraud or dishonesty,ParticswithBal,ActPartics,AvgPartContrib,AvgEmpContrib,AvgBalance,plantype,ProvName1,ProvRelation1,ProvFees1,ProvPosition1,ProvName2,ProvRelation2,ProvFees2,ProvPosition2,ProvName3,ProvRelation3,ProvFees3,ProvPosition3,ProvName4,ProvRelation4,ProvFees4,ProvPosition4,ProvName5,ProvRelation5,ProvFees5,ProvPosition5,ProvName6,ProvRelation6,ProvFees6,ProvPosition6,ProvName7,ProvRelation7,ProvFees7,ProvPosition7,ProvName8,ProvRelation8,ProvFees8,ProvPosition8,ProvName9,ProvRelation9,ProvFees9,ProvPosition9,ProvName10,ProvRelation10,ProvFees10,ProvPosition10,ProvName11,ProvRelation11,ProvFees11,ProvPosition11,ProvName12,ProvRelation12,ProvFees12,ProvPosition12,ProvName13,ProvRelation13,ProvFees13,ProvPosition13,ProvName14,ProvRelation14,ProvFees14,ProvPosition14
20251003110900NAL0000807603001,860226984,"UNIVERSAL TECHNICAL INSTITUTE, INC. 401(K) PLAN",,20251003,JANET PARK,611000,Educational Services,20241231,,,,JANET PARK,"UNIVERSAL TECHNICAL INSTITUTE, INC.",4225 E WINDROSE DRIVE,SUITE 200,PHOENIX,AZ,85032,Maricopa County,(623) 445-9500,"3,502","3,891","4,506","4,071"," $159,008,493.00 "," $188,289,366.00 "," $16,162,853.00 "," $368,501.00 "," $16,552,014.00 "," $500,000.00 "," $4,303,263.00 "," $2,085,795.00 "," $19,339,569.00 "," $3,271,583.00 ", $ -    ," $20,660.00 ",,2E2F2G2J2K2R3D3H3J,23,,Y,Y,,,,,,,4071,3891," $4,970.33 "," $1,105.95 "," $46,251.38 ",DC,FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"252,426",Participant loan processing,SAGEVIEW advisor GROUP LLC,INVESTMENT ADVISOR,"56,000",Investment advisory (plan),STRATEGIC ADVISORS Incorporated,ADVISOR,"48,748",Investment advisory (plan),FORVIS LLP,ACCOUNTANT/AUDITOR,"13,388",Accounting (including auditing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251015193302NAL0005736529001,942823538,MARIN GENERAL HOSPITAL 403(B) RETIREMENT PLAN,,20251015,EUGENE LEWIS,622000,Hospitals,20241231,,,,EUGENE LEWIS,MARIN GENERAL HOSPITAL,250 BON AIR ROAD,,GREENBRAE,CA,94904,Marin County,(415) 925-7040,"1,869","1,904","2,474","2,474"," $165,164,312.00 "," $187,068,375.00 "," $19,537,027.00 "," $(9,749.00)"," $19,809,774.00 "," $10,000,000.00 ",," $2,519,564.00 "," $16,799,124.00 "," $2,390,033.00 "," $12,388.00 "," $270,108.00 ",,2F2G2L2M2R2S2T3H,61,,,,,,,Y,,,2474,1904," $8,823.07 ",," $75,613.73 ",DC,LINCOLN NATIONAL CORPORATION,SERVICE PROVIDER,275,Contract Administrator,Fidelity Investment Institutional OPS CO,RECORDKEEPER,"-9,649","Recordkeeping and information management (computing, tabulating, data processing, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013123840NAL0001317041001,522145827,"CHEMONICS INTERNATIONAL, INC. 401(K) PROFIT SHARING PLAN",,20251013,ERIN YATES,541600,"Management, Scientific, and Technical Consulting Services",20241231,,,,ERIN YATES,"CHEMONICS INTERNATIONAL,INC.",1275 NEW JERSEY AVE SE,SUITE 200,WASHINGTON,DC,20003,District of Columbia,(202) 955-7420,"1,414","1,405","2,198","2,048"," $158,668,503.00 "," $186,676,999.00 "," $10,086,576.00 "," $148,214.00 "," $10,336,931.00 "," $500,000.00 "," $116,779.00 "," $1,926,905.00 "," $12,970,840.00 "," $1,195,389.00 ", $ -    ," $102,141.00 ",,2E2F2G2J2K2R2S2T3D,52,,,,,,,,,,2048,1405," $9,231.92 ", $83.12 ," $91,150.88 ",DC,EMPOWER ANNUITY INSURANCE COMPANY O,NONE,"117,703","Recordkeeping and information management (computing, tabulating, data processing, etc.)",EMPOWER advisor GROUP LLC,NONE,"30,501",Investment advisory (participants),EMPOWER FINANCIAL SERVICES Incorporated,NONE,10,Investment advisory (participants),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251015212218NAL0005621297001,134221398,PCI GAMING AUTHORITY 401(K) RETIREMENT PLAN,,20251015,CATHERINE TIMMONS,713200,Gambling Industries,20241231,,,20251015,CATHERINE TIMMONS,PCI GAMING AUTHORITY,303 POARCH ROAD,,ATMORE,AL,36502,Escambia County,(251) 446-4248,"6,426","7,712","8,600","6,636"," $141,632,214.00 "," $184,168,695.00 "," $17,097,129.00 "," $639,508.00 "," $17,742,822.00 "," $10,000,000.00 "," $12,935,598.00 "," $5,585,437.00 "," $21,164,536.00 "," $9,990,507.00 ",," $6,185.00 ",,2E2F2G2J2K2R2S2T3D3H,25,,,,,,,,,,6636,7712," $2,744.36 "," $1,677.33 "," $27,752.97 ",DC,PRINCIPAL LIFE INSURANCE COMPANY,CONTRACT ADMINISTRATOR,"443,874",Contract Administrator,NFP RETIREMENT,INVESTMENT ADVISOR,"195,591",Investment advisory (plan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014184729NAL0001769747001,800319107,SOLAIRUS AVIATION 401(K) PLAN,,20251015,MARK DENNEN,481000,Air Transportation,20241231,,,,MARK DENNEN,"SUNSET AVIATION, LLC DBA SOLAIRUS AVIATION",201 FIRST STREET SUITE 307,,PETALUMA,CA,94952,Sonoma County,(800) 359-7861,"1,056","1,127","1,288","1,249"," $138,333,323.00 "," $183,864,529.00 "," $13,992,019.00 "," $461,377.00 "," $14,540,313.00 "," $500,000.00 "," $12,056,146.00 "," $8,428,634.00 "," $18,260,359.00 "," $1,711,518.00 "," $7,645.00 "," $79,272.00 ",,2E2F2G2J2K2R2S2T3D,65,,,,,,,Y,,,1249,1127," $16,202.63 "," $10,697.56 "," $147,209.39 ",DC,SCHWAB RETIREMENT PLAN SERVICES Incorporated,NONE,"300,851","Recordkeeping and information management (computing, tabulating, data processing, etc.)",PERIGON WEALTH MANAGEMENT LLC,NONE,"129,617",Investment management,GLOBAL RETIREMENT PARTNERS LLC,NONE,"18,750",Investment management,CERITY PARTNERS LLC,NONE,"5,492",Investment advisory (participants),CHARLES SCHWAB & CO INC,NONE,"2,128",Securities brokerage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251015144440NAL0002593427001,820580763,DENTAL CARE ALLIANCE 401(K) PLAN,,20251015,MEGHAN ANDERSON,621210,Offices of Dentists,20241231,,,20251015,MEGHAN ANDERSON,DENTAL CARE ALLIANCE,6240 LAKE OSPREY DRIVE,,SARASOTA,FL,34240,Sarasota County,(941) 364-7550,"4,607","4,413","5,529","5,031"," $157,623,478.00 "," $183,831,530.00 "," $16,855,442.00 "," $539,849.00 "," $17,417,874.00 "," $1,000,000.00 ",," $1,789,691.00 "," $19,312,172.00 "," $1,869,240.00 "," $21,483.00 "," $1,100.00 ",,2E2F2G2J2K2R2T,38,,,Y,,,,Y,,,5031,4413," $4,376.20 ",," $36,539.76 ",DC,VOYA RETIREMENT INSURANCE & ANNUITY,SERVICE PROVIDER,"540,914",Recordkeeping fees,WORLD INVESTMENT ADVISORS LLC,SERVICE PROVIDER,"121,179",Other fees ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251015201900NAL0002857747001,951634364,PROCOPIO CORY HARGREAVES & SAVITCH LLP 401(K) PROFIT SHARING PLAN,,20251015,GABE MONTESANO,541110,Offices of Lawyers,20241231,,,20251015,GABRIEL MONTESANO,"PROCOPIO, CORY, HARGREAVES & SAVITCH LLP","525 B STREET, SUITE 2200",,SAN DIEGO,CA,92101,San Diego County,(619) 525-3816,391,371,540,430," $166,663,436.00 "," $182,590,892.00 "," $10,591,960.00 "," $275,072.00 "," $10,867,032.00 "," $500,000.00 "," $6,126,222.00 "," $941,540.00 "," $3,052,298.00 "," $931,307.00 ",,,,2E2F2G2J2K2R2T3B,60,,,Y,,,,,,,430,371," $8,227.22 "," $16,512.73 "," $424,630.00 ",DC,MATRIX TRUST COMPANY,NONE,"69,452",Custodial (securities),MILLIMAN Incorporated,NONE,"68,268","Recordkeeping and information management (computing, tabulating, data processing, etc.)",GRP FINANCIAL,NONE,"45,000",Investment advisory (plan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251015113022NAL0009335330001,941700729,"CALIFORNIA ADVANCED IMAGING MEDICAL ASSOCIATES, INC. RETIREMENT AND 401(K) PLAN",,20251015,MATT CHESLER,621111,Offices of Physicians (except Mental Health Specialists),20241231,,,20251015,MATT CHESLER,"CALIFORNIA ADVANCED IMAGING MEDICAL ASSOCIATES, INC.",500 REDWOOD BOULEVARD,SUITE 300,NOVATO,CA,94947,Marin County,(415) 884-3415,75,86,178,172," $173,431,457.00 "," $182,483,447.00 "," $16,837,557.00 "," $61,076.00 "," $16,918,816.00 "," $1,000,000.00 "," $2,136,795.00 "," $479,651.00 "," $1,474,186.00 "," $109,363.00 "," $20,183.00 ",,,2E2F2G2J2K2R2T3D,79,,,Y,,,,Y,,,172,86," $17,141.70 "," $24,846.45 "," $1,060,950.25 ",DC,THE VANGUARD GROUP Incorporated,NONE,"39,224","Recordkeeping and information management (computing, tabulating, data processing, etc.)",VANGUARD ADVISERS Incorporated,NONE,"21,952",Investment advisory (participants),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250507133059NAL0007884499001,854210591,"GUITAR CENTER, INC. 401(K) PLAN",(818) 735-8800,20250507,ANDREA MINASIAN,451140,Musical Instrument and Supplies Stores,20241231,,,,ANDREA MINASIAN,"GUITAR CENTER, INC.",5795 LINDERO CANYON RD.,,WESTLAKE VILLAGE,CA,91362,Ventura County,(818) 735-8800,"13,469","14,078","15,197","5,093"," $157,752,402.00 "," $182,408,960.00 "," $18,424,501.00 "," $73,705.00 "," $19,496,326.00 "," $500,000.00 "," $3,053,574.00 "," $1,630,793.00 "," $14,260,944.00 "," $1,892,183.00 "," $876,435.00 "," $121,685.00 ",,2E2F2G2J2K2T3F3H3D2R,43,,,Y,,,,Y,,,5093,14078," $1,013.00 ", $216.90 ," $35,815.62 ",DC,FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"73,754",Participant loan processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014155010NAL0001643715001,952495390,WEDBUSH SECURITIES INC. EMPLOYEES' RETIREMENT PLAN,,20251014,SAMANTHA KIRKMAN,523120,Securities Brokerage,20241231,,,20251014,DANIEL BILLINGS,WEDBUSH SECURITIES INC.,"1000 WILSHIRE BOULEVARD, FLOOR 9",,LOS ANGELES,CA,90017,Los Angeles County,(213) 688-8000,822,782,"1,129","1,050"," $151,761,955.00 "," $182,106,245.00 "," $15,183,696.00 "," $49,474.00 "," $15,238,140.00 "," $1,000,000.00 "," $6,357,560.00 "," $2,825,031.00 "," $9,521,093.00 "," $1,686,338.00 "," $4,970.00 ",,,2E2F2G2J2K2R3B3D3H,78,,Y,Y,,,Y,Y,,,1050,782," $12,175.31 "," $8,129.87 "," $173,434.52 ",DC,SCHWAB RETIREMENT PLAN SERVICES Incorporated,NONE,"46,838","Recordkeeping and information management (computing, tabulating, data processing, etc.)",CHARLES SCHWAB & CO INC,NONE,"3,752",Securities brokerage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014095825NAL0001206195001,840994002,ASPEN SKIING COMPANY SAVINGS PLAN,,20251014,MEAGAN HEARNS,713900,Other Amusement and Recreation Industries,20241231,,,,MEAGAN HEARNS,ASPEN SKIING COMPANY,0076 BOOMERANG ROAD,"2ND FLOOR, HR",ASPEN,CO,81611,Pitkin County,(970) 300-7704,"3,244","4,214","4,586","1,816"," $172,603,216.00 "," $182,096,870.00 "," $9,155,019.00 "," $24,421.00 "," $9,215,318.00 "," $15,000,000.00 "," $2,006,189.00 "," $322,109.00 "," $4,063,596.00 "," $980,078.00 ", $ -    ," $35,878.00 ",,2T2F2G2J2K3D2R2E,27,,,Y,,,,,,,1816,4214, $964.31 , $476.08 ," $100,273.60 ",DC,STRATEGIC ADVISORS Incorporated,ADVISOR,"28,121",Investment advisory (plan),FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"-3,323",Participant loan processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014183447NAL0003579009001,840421951,DAVIS GRAHAM & STUBBS LLP RETIREMENT PLAN,,20251014,RACHEL JAMES,541110,Offices of Lawyers,20241231,,,,RACHEL JAMES,DAVIS GRAHAM & STUBBS LLP,"3400 WALNUT STREET, SUITE 700",,DENVER,CO,80205,Denver County,(303) 892-7564,241,227,388,384," $155,892,851.00 "," $179,822,956.00 "," $8,085,799.00 "," $5,000.00 "," $8,090,799.00 "," $500,000.00 "," $3,565,127.00 "," $1,040,305.00 "," $3,447,995.00 ",,,,,2E2F2G2J2R2T3B3D,89,,,Y,,,,,,,384,227," $15,189.41 "," $15,705.41 "," $468,288.97 ",DC,THE VANGUARD GROUP Incorporated,NONE,"5,000","Recordkeeping and information management (computing, tabulating, data processing, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250725145721NAL0008964896001,943394123,"FIVE9, INC.401(K) PLAN",,20250725,MATT LECHNER,541990,"All Other Professional, Scientific, and Technical Services",20241231,,,,MATT LECHNER,"FIVE9, INC.",3001 BISHOP DRIVE,SUITE 350,SAN RAMON,CA,94583,Contra Costa County,(925) 201-2209,"1,513","1,501","1,808","1,595"," $139,835,366.00 "," $179,705,282.00 "," $19,269,310.00 "," $9,076.00 "," $19,290,765.00 "," $500,000.00 "," $2,631,972.00 "," $6,187,343.00 "," $22,089,285.00 "," $1,938,572.00 "," $11,639.00 ", $740.00 ,,2F2G2J2K2E2T3D2R3H,72,,,Y,,,,Y,,,1595,1501," $14,716.38 "," $1,753.48 "," $112,667.89 ",DC,FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"9,132",Participant loan processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250918135217NAL0001408481001,942788907,SUTTER HEALTH 401(K) SAVINGS PLAN,,20250918,REBECCA SHIPLEY,622000,Hospitals,20241231,,,,REBECCA SHIPLEY,SUTTER HEALTH,2200 RIVER PLAZA DRIVE,,SACRAMENTO,CA,95833,Sacramento County,(888) 888-6044,"2,714","2,552","3,959","3,865"," $167,352,523.00 "," $179,583,355.00 "," $17,971,982.00 "," $86,202.00 "," $18,082,747.00 "," $10,000,000.00 "," $155,848.00 "," $842,538.00 "," $3,897,491.00 "," $970,420.00 ", $ -    ," $24,563.00 ",,2E2F2G2J2K2R2S2T3H,43,,,,,,,,,,3865,2552," $1,527.23 ", $61.07 ," $46,464.00 ",DC,FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"86,202",Participant loan processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250919163738NAL0003301891001,943112828,RAMBUS INC. 401(K) PLAN,,20250919,REBECA VIGIL,541519,Other Computer Related Services,20241231,,,,REBECA VIGIL,"RAMBUS, INC.",4453 N 1ST STREET,UNIT 100,SAN JOSE,CA,95134,Santa Clara County,(408) 462-8000,263,339,654,614," $164,130,684.00 "," $179,460,076.00 "," $24,341,569.00 "," $60,156.00 "," $24,416,821.00 "," $500,000.00 "," $2,033,799.00 "," $1,589,304.00 "," $7,805,909.00 "," $104,465.00 ", $ -    ," $15,096.00 ",,2F2G2J2K2T3D2R3H,84,,,Y,,,,,,,614,339," $23,026.28 "," $5,999.41 "," $292,280.25 ",DC,FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"63,396",Participant loan processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251009124230NAL0011477968001,951664100,CLAREMONT GRADUATE UNIVERSITY ACADEMIC RETIREMENT PLAN,(909) 607-4130,20251009,MIA ALONZO,611000,Educational Services,20241231,,,20251009,MIA ALONZO,CLAREMONT GRADUATE UNIVERSITY,101 S. MILLS AVE,,CLAREMONT,CA,917113998,Los Angeles County,(909) 607-4130,513,511,"1,029",994," $170,616,228.00 "," $179,199,339.00 "," $13,828,289.00 "," $39,299.00 "," $13,876,722.00 "," $5,000,000.00 "," $1,450,387.00 "," $989,952.00 "," $1,660,807.00 "," $176,201.00 ",," $9,134.00 ",,2F2G2L2M2R2T3D,39,,,Y,,,,,,,994,511," $3,250.11 "," $2,838.33 "," $180,281.03 ",DC,TIAA,NONE,"39,299","Recordkeeping and information management (computing, tabulating, data processing, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251014174220NAL0004652560001,261676938,FRONTGRADE 401(K) PLAN,,20251014,FRANK PELOSO,336410,Aerospace Product and Parts Manufacturing,20241231,,,,FRANK PELOSO,"FRONTGRADE TECHNOLOGIES, INC.",4350 CENTENNIAL BLVD,,COLORADO SPRINGS,CO,80907,El Paso County,(719) 421-9751,"1,157",952,"1,169","1,052"," $162,760,228.00 "," $178,805,298.00 "," $24,425,796.00 "," $7,057.00 "," $24,438,590.00 "," $5,000,000.00 "," $4,553,775.00 "," $1,465,940.00 "," $9,115,066.00 "," $1,821,064.00 "," $4,965.00 ", $772.00 ,,2T2G2J2K2E2S3D2R2F,77,,,,,,,Y,,,1052,952," $9,574.65 "," $4,783.38 "," $169,967.02 ",DC,STRATEGIC ADVISORS Incorporated,ADVISOR,"50,554",Investment advisory (plan),FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"-43,427",Participant loan processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251010100844NAL0018189602001,990769465,ZIMVIE INC. SAVINGS AND INVESTMENT 401(K) PROGRAM,,20251010,KIMBERLY CROWDER,339110,Medical Equipment and Supplies Manufacturing,20241231,,"ZIMVIE, INC.",,KIMBERLY CROWDER,ZIMVIE US CORP LLC.,4555 RIVERSIDE DRIVE,,PALM BEACH GARDENS,FL,33410,Palm Beach County,(800) 342-5454,"1,260",806,"1,207","1,177"," $170,939,374.00 "," $178,491,718.00 "," $29,206,552.00 "," $246,351.00 "," $29,564,134.00 "," $3,000,000.00 "," $4,205,196.00 "," $315,401.00 "," $7,598,391.00 "," $2,254,975.00 ", $ -    ," $111,231.00 ",,2E2F2G2J2K2S2T3D2R,64,,,,,,,,,,1177,806," $9,427.28 "," $5,217.36 "," $151,649.72 ",DC,FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"94,659",Participant loan processing,STRATEGIC ADVISORS Incorporated,ADVISOR,"90,234",Investment advisory (plan),FIDUCIENT ADVISORS,INVESTMENT ADVISOR,"33,478",Investment advisory (plan),KRUGGEL LAWTON & COMPANY LLC,ACCOUNTANT/AUDITOR,"28,000",Accounting (including auditing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251001133921NAL0016203840001,952821104,HENRY MAYO NEWHALL MEMORIAL HOSPITAL & FOUNDATION RETIREMENT PLAN,,20251001,RIAN MEDLIN,622000,Hospitals,20241231,,,20251001,RIAN MEDLIN,HENRY MAYO NEWHALL HOSPITAL,23845 MCBEAN PARKWAY,,VALENCIA,CA,91355,Los Angeles County,(661) 200-1570,"1,817","1,851","2,382","1,709"," $162,956,011.00 "," $178,424,840.00 "," $17,690,216.00 "," $295,374.00 "," $18,194,120.00 "," $3,000,000.00 "," $4,200,889.00 "," $428,369.00 "," $9,560,474.00 "," $2,877,213.00 ",," $208,530.00 ",,2F2G2L2M2R2T3H,33,,,Y,,,,,,,1709,1851," $5,165.03 "," $2,269.52 "," $104,403.06 ",DC,TIAA,NONE,"212,710","Recordkeeping and information management (computing, tabulating, data processing, etc.)",SAGEVIEW advisor GROUP LLC,NONE,"82,504",Consulting (pension),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251031150248NAL0003863169001,941205338,HANSON BRIDGETT LLP PROFIT SHARING PLAN,,20251031,LAURA LONG,541110,Offices of Lawyers,20241231,,,,LAURA LONG,HANSON BRIDGETT LLP,"425 MARKET STREET, 26TH FLOOR",,SAN FRANCISCO,CA,94105,San Francisco County,(415) 777-3200,265,252,359,354," $152,942,006.00 "," $178,045,113.00 "," $4,044,795.00 "," $214,607.00 "," $4,259,402.00 "," $1,000,000.00 "," $4,308,365.00 "," $89,997.00 "," $3,689,533.00 "," $810,993.00 ",,,,2A2E2G2J2R2S2T3B3D,59,Y,,,,,,,Y,,354,252," $14,641.00 "," $17,096.69 "," $502,952.31 ",DC,MARINER LLC,NONE,"136,891",Investment management,SCHWAB RETIREMENT PLAN SERVICES Incorporated,NONE,"34,473","Recordkeeping and information management (computing, tabulating, data processing, etc.)",WAYPOINT WEALTH PARTNERS Incorporated,NONE,"17,529",Investment advisory (participants),PERIGONN WEALTH MANAGEMENT LLC,NONE,"18,250",Investment advisory (participants),CAMBRIDGE INVESTMENT RESEARCH,NONE,"6,137",Investment advisory (participants),CHARLES SCHWAB & CO INC,NONE,585,Securities brokerage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250828124744NAL0020520514001,270805829,CLOUDFLARE 401(K) PLAN,,20250828,LISA GRUBER,519100,Other Information Services,20241231,,,,LISA GRUBER,"CLOUDFLARE, INC.",101 TOWNSEND,,SAN FRANCISCO,CA,94107,San Francisco County,(650) 319-8930,"2,093","2,380","2,960","2,822"," $120,252,361.00 "," $177,776,570.00 "," $14,027,089.00 "," $226,115.00 "," $14,289,217.00 "," $500,000.00 ", $ -    ," $14,714,156.00 "," $34,429,548.00 "," $752,950.00 "," $36,013.00 ", $ -    ,,2F2G2E2J2K2T2S3D2R,58,,,,,,Y,Y,,,2822,2380," $14,466.20 ", $ -    ," $62,996.66 ",DC,FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"110,869",Participant loan processing,NEWFRONT RETIREMENT SERVICES Incorporated,ADVISOR,"65,250",Investment advisory (plan),THE STANDARD INSURANCE COMPANY,INVESTMENT MANAGER,"49,996",Investment management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250829084444NAL0006019971001,010733400,GARVER RETIREMENT PLAN,,20250829,BEVERLY ROBERSON,541330,Engineering Services,20241231,,,,BEVERLY ROBERSON,"GARVER, LLC",4701 NORTHSHORE DRIVE,,NORTH LITTLE ROCK,AR,72118,Pulaski County,(501) 376-3633,"1,289","1,484","1,821","1,750"," $147,094,321.00 "," $176,048,021.00 "," $15,695,168.00 "," $218,839.00 "," $15,949,706.00 "," $500,000.00 "," $6,265,701.00 "," $4,128,540.00 "," $12,781,291.00 "," $2,217,990.00 "," $9,321.00 "," $26,378.00 ",,2G2J2K2S2T3B3H2E3D2F2R,58,,,,,,,Y,,,1750,1484," $8,612.73 "," $4,222.17 "," $100,598.87 ",DC,FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"113,563",Participant loan processing,MERIDIAN MANAGEMENT CO,ADVISOR/INVESTMENT ADV,"95,000",Investment advisory (participants),CAPTRUST,INVESTMENT ADVISOR,"11,875",Investment advisory (plan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250911070004NAL0000094657001,651160056,BOIES SCHILLER FLEXNER LLP RETIREMENT SAVINGS PLAN,,20250911,ANNIE CULLEN,541110,Offices of Lawyers,20241231,,,,ANNIE CULLEN,BOIES SCHILLER FLEXNER LLP,1401 NEW YORK AVENUE,12TH FLOOR,WASHINGTON,DC,20005,District of Columbia,(202) 237-2727,320,358,846,808," $151,358,315.00 "," $175,513,007.00 "," $9,121,705.00 ", $(927.00)," $9,120,778.00 "," $500,000.00 "," $2,417,562.00 "," $1,200,885.00 "," $4,685,859.00 "," $505,917.00 ", $ -    , $ -    ,,2F2G2J2T2A3D2R2E,81,,,Y,,,,,,,808,358," $13,088.99 "," $6,752.97 "," $217,219.06 ",DC,STRATEGIC ADVISORS Incorporated,ADVISOR,"16,111",Investment advisory (plan),PRICEWATERHOUSECOOPERS LLP,CONSULTANT,"8,000",Consulting (general),FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"-25,038",Participant loan processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013131409NAL0002957842001,593715944,"AVAILITY, L.L.C. 401(K) RETIREMENT SAVINGS PLAN",,20251013,JUSTIN THREET,519100,Other Information Services,20241231,,,,JUSTIN THREET,"AVAILITY, L.L.C.",5555 GATE PARKWAY SUITE 110,,JACKSONVILLE,FL,32256,Duval County,(904) 470-4553,"1,491","1,590","1,992","1,934"," $139,472,962.00 "," $174,841,173.00 "," $14,235,309.00 "," $185,398.00 "," $14,421,965.00 "," $500,000.00 "," $6,850,561.00 "," $5,858,016.00 "," $14,571,569.00 "," $2,069,988.00 ", $140.00 ," $1,118.00 ",,2G2J2K2S2T2E2F3D2R,64,,,,,,,Y,,,1934,1590," $9,164.51 "," $4,308.53 "," $90,403.91 ",DC,FIDELITY INVESTMENTS INSTITUTIONAL,RECORDKEEPER,"152,057",Participant loan processing,STRATEGIC ADVISORS Incorporated,ADVISOR,"33,773",Investment advisory (plan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
